,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_desc,bechdel_score,synopsis
0,Toy Story,1995,Missing,Missing,0.25,12.0,"There are two or more women in this movie, but they don't talk to each other",1,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
2,Grumpier Old Men,1995,0.0,4.0,insufficient sample,7.0,Missing,Missing,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
3,Waiting to Exhale,1995,0.25,4.0,Missing,Missing,Missing,Missing,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
4,Father of the Bride Part II,1995,0.2857142857142857,7.0,0.45454545454545453,11.0,Missing,Missing,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own."
5,Heat,1995,Missing,Missing,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence."
7,Tom and Huck,1995,0.0,4.0,insufficient sample,7.0,Missing,Missing,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
8,Sudden Death,1995,0.125,8.0,insufficient sample,6.0,Missing,Missing,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.
9,GoldenEye,1995,0.21739130434782608,23.0,0.3684210526315789,19.0,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from an awesome space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Trevelyan's stunning ally, Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon."
10,The American President,1995,0.0,6.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
11,Dracula: Dead and Loving It,1995,Missing,Missing,0.36363636363636365,11.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count."
12,Balto,1995,0.3333333333333333,6.0,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
13,Nixon,1995,0.0,8.0,Missing,Missing,Missing,Missing,An epic look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.
14,Cutthroat Island,1995,0.14285714285714285,14.0,Missing,Missing,Missing,Missing,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
16,Sense and Sensibility,1995,0.42857142857142855,7.0,0.4375,16.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites."
