,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
15000,Beautiful Losers,2008,insufficient sample,3.0,insufficient sample,2.0,Missing,Missing,This documentary follows the lives and careers of a collective group of Do-it-yourself artists and designers who inadvertently affected the art world.
15002,Aftermath: Population Zero,2008,Missing,Missing,Missing,Missing,Missing,Missing,Aftermath: Population Zero investigates what would happen if every single person on Earth simply disappeared. Explore the interactive world without us.
15003,Grassroots,2012,insufficient sample,7.0,insufficient sample,10.0,Missing,Missing,"Grant Cogswell, a liberal music critic decides to run for city council against a popular black incumbent and is assisted by a reporter who recently lost his job. Initially given no chance, things turn dark when Cogswell makes it into the general election. Based on a true story."
15004,Tattoo Nation,2013,Missing,Missing,insufficient sample,2.0,Missing,Missing,"A documentary that follows three pioneers -- Charlie Cartwright, Jack Rudy and Freddy Negrete -- revolutionized the world of tattooing."
15006,The Maze Runner,2014,Missing,Missing,Missing,Missing,Missing,Missing,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."
15007,No Good Deed,2014,Missing,Missing,Missing,Missing,Missing,Missing,"Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family."
15008,Camp X-Ray,2014,insufficient sample,10.0,insufficient sample,6.0,Missing,Missing,"A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead, she ends up as a new guard at Guantanamo Bay, where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates, she strikes up an unusual friendship with one of the detainees."
15009,Hori Smoku Sailor Jerry,2008,insufficient sample,1.0,Missing,Missing,Missing,Missing,"A look at the history of tattoos in America, featuring tattooing legend Norman ""Sailor Jerry"" Collins."
15010,Below Sea Level,2008,Missing,Missing,Missing,Missing,Missing,Missing,"During a five year period an Italian filmmaker documents the world of down-on-their-luck individuals who live in a Californian desert trying to get by one day at a time. None of them has more than a vehicle, a dog and some clothes."
15011,Power and Terror: Noam Chomsky in Our Times,2002,Missing,Missing,Missing,Missing,Missing,Missing,This documentary compiles a series of Noam Chomsky's interviews and lectures that address the events of 9/11.
15012,Noam Chomsky: Distorted Morality,2003,Missing,Missing,Missing,Missing,Missing,Missing,"In this remarkable documentary, Noam Chomsky offers a riveting but devastating critique of America's current war on terror arguing, in fact, that it is a logistical impossibility for such a war to be taking place. Professor Chomsky presents his reasoning with astonishing and refreshing clarity, drawing from a wealth of historical knowledge and analysis. ""Only those who are entirely ignorant of modern history will be surprised by the course of events, or by the justifications that are provided..."""
15014,Marilena de la P7,2006,Missing,Missing,insufficient sample,1.0,Missing,Missing,"Andrei, a 13 year old teenager, living on Bucharest outskirts, decides one day to steal a trolleybus in order to impress Marilena, a prostitute he fell in love with."
15015,The Obama Deception,2009,insufficient sample,2.0,insufficient sample,3.0,Missing,Missing,"Who Obama works for, what lies he has told, and his real agenda. If you want to know the facts and cut through all the hype, this is the film for you."
15016,Homevideo,2011,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing,"Shy, sensitive high school outsider Jakob Moormann is miserably lacking immaterial support at home, where his strict father, uniformed cop Claas, and selfish mother are too busy breaking up to be there for him. Jakob focuses on class dream-girl Hannah, without much luck. His secret recording of himself masturbating gets into class bullies Henry and Erik's hands through the mother's thoughtlessness. The rascals blackmail Jakob and post the video on the Internet. After a raging lecture phase, dad stands up for Jakob, but his life is already wrecked more than anyone realizes."
15018,Sharknado 2: The Second One,2014,insufficient sample,6.0,0.42857142857142855,21.0,Missing,Missing,"A freak weather system turns its deadly fury on New York City, unleashing a Sharknado on the population and its most cherished, iconic sites - and only Fin and April can save the Big Apple."
15019,The Riot Club,2014,insufficient sample,6.0,Missing,Missing,Missing,Missing,"Two first-year students at Oxford University join the infamous Riot Club, where reputations can be made or destroyed over the course of a single evening."
15020,A Walk Among the Tombstones,2014,0.21428571428571427,14.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
15021,The Galapagos Affair: Satan Came to Eden,2014,insufficient sample,9.0,insufficient sample,7.0,Missing,Missing,"Darwin meets Hitchcock in this documentary. Directors Dan Geller and Dayna Goldfine have created a parable about the search for paradise, set in the brutal yet alluring landscape of the Galapagos Islands, which interweaves an unsolved 1930s murder mystery with stories of present day Galapagos pioneers. A gripping tale of idealistic dreams gone awry, featuring voice-over performances by Cate Blanchett, Diane Kruger, and Gustaf Skarsgard."
15022,My Old Lady,2014,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing,"Mathias Gold (Kevin Kline) is a down-on-his-luck New Yorker who inherits a Parisian apartment from his estranged father. But when he arrives in France to sell the vast domicile, he's shocked to discover a live-in tenant who is not prepared to budge. His apartment is a viager - an ancient French real estate system with complex rules pertaining to its resale - and the feisty Englishwoman Mathilde Girard (Maggie Smith), who has lived in the apartment with her daughter Chloé (Kristin Scott Thomas) for many years, can by contract collect monthly payments from Mathias until her death."
15023,1971,2014,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Forty years before WikiLeaks and the NSA scandal, there was Media, Pennsylvania. In 1971, eight activists plotted an intricate break-in to the local FBI offices to leak stolen documents and expose the illegal surveillance of ordinary Americans in an era of anti-war activism. In this riveting heist story, the perpetrators reveal themselves for the first time, reflecting on their actions and raising broader questions surrounding security leaks in activism today."
15024,The Other One,2014,Missing,Missing,Missing,Missing,Missing,Missing,"A teacher, haunted by the death of her husband, returns to her childhood home to care for her ill mother. But as her mother's dementia deepens, dark secrets tumble out, including a family secret that will turn her life upside-down forever."
15025,Affluenza,2014,insufficient sample,8.0,0.5,12.0,Missing,Missing,"An aspiring young photographer finds himself caught up in a heady world of money, sex, and privilege when he moves to wealthy Long Island in the summer of 2008."
15026,700 Sundays,2014,Missing,Missing,Missing,Missing,Missing,Missing,"In 700 Sundays, legendary comedian and actor Billy Crystal tells the stories of his youth, growing up in the jazz world of Manhattan, his teenage years, and finally adulthood. The Tony Award-winning show is a funny and poignant exploration of family and fate, loving and loss."
15027,Laggies,2014,insufficient sample,7.0,0.6363636363636364,11.0,Missing,Missing,"Overeducated and underemployed, 28 year old Megan is in the throes of a quarterlife crisis. Squarely into adulthood with no career prospects, no particular motivation to think about her future and no one to relate to, Megan is comfortable lagging a few steps behind - while her friends check off milestones and celebrate their new grown-up status. When her high-school sweetheart proposes, Megan panics and- given an unexpected opportunity to escape for a week - hides out in the home of her new friend, 16-year old Annika and Annika's world-weary single dad Craig."
15028,Bethlehem,2013,Missing,Missing,Missing,Missing,Missing,Missing,"Bethlehem tells the story of the unlikely bond between Razi, an Israeli secret service officer, and his Palestinian informant Sanfur, the younger brother of a senior Palestinian militant. Razi recruited Sanfur when he was just 15, and developed a very close, almost fatherly relationship to him. Now 17, Sanfur tries to navigate between Razi’s demands and his loyalty to his brother, living a double life and lying to both men. Co-written by director Yuval Adler and Ali Waked—an Arab journalist who spent years in the West Bank—Bethlehem gives an unparalleled, moving and authentic portrait of the complex reality behind the news."
15029,God Help the Girl,2014,insufficient sample,2.0,insufficient sample,5.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Eve is a catastrophe—low on self-esteem but high on fantasy, especially when it comes to music. Over the course of one Glasgow summer, she meets two similarly rootless souls: posh Cass and fastidious James, and together they form a group."
15030,Misconception,2014,insufficient sample,2.0,Missing,Missing,Missing,Missing,"For almost 50 years, the world's population has grown at an alarming rate, raising fears about strains on the Earth's resources. But how true are these claims? Taking cues from statistics guru Hans Rosling, Misconception offers a provocative glimpse at how the world—and women in particular— are tackling a subject at once personal and global. Following three individuals, director Jessica Yu focuses on the human implications of this highly charged political issue, inspiring a fresh look at the consequences of population growth. In English, Hindi, Mandarin, and Russian with subtitles."
15031,The Last Season,2014,Missing,Missing,Missing,Missing,Missing,Missing,"In search of the lucrative matsutake mushroom, two former soldiers discover the means to gradually heal their wounds of war. Roger, a self-described 'fall-down drunk' and sniper in Vietnam, and Kouy, a Cambodian refugee who fought the Khmer Rouge, bonded in the bustling tent-city known as Mushroom Camp, which pops up each autumn in the Oregon woods. Their friendship became an adoptive family; according to a Cambodian custom, if you lose your family like Kouy, you must rebuilt it anew. Now, however, this new family could be lost. Roger's health is declining and trauma flashbacks rack his mind; Kouy gently aids his family before the snow falls and the hunting season ends, signaling his time to leave."
15032,What We Did on Our Holiday,2014,insufficient sample,2.0,Missing,Missing,Missing,Missing,"Doug and Abi  and their three children travel to the Scottish Highlands for Doug's father Gordie's birthday party. It's soon clear that when it comes to keeping a secret under wraps from the rest of the family, their children are their biggest liability..."
15033,Fall of the Republic: The Presidency of Barack H. Obama,2009,insufficient sample,2.0,Missing,Missing,Missing,Missing,Fall Of The Republic documents how an offshore corporate cartel is bankrupting the US economy by design. Leaders are now declaring that world government has arrived and that the dollar will be replaced by a new global currency.
15034,Dead Within,2014,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing,"Set six months after a deadly outbreak has all but ended the human race, a man and woman have survived by isolating themselves in a remote cabin and never opening the door. Now they don’t have a choice. Starved for resources, they must confront the horrors that threaten them… but what’s inside may be even more toxic than what remains outside.  When it all ends, this is what remains."
15035,Free Range/Ballaad Maailma Heakskiitmisest,2013,Missing,Missing,Missing,Missing,Missing,Missing,The story of a promising young man with exciting career opportunities and a looming marital bliss.
15036,Turist,2014,insufficient sample,8.0,insufficient sample,8.0,Missing,Missing,"While holidaying in the French Alps, a Swedish family deals with acts of cowardliness as an avalanche breaks out."
15037,Turist,2014,insufficient sample,8.0,insufficient sample,8.0,Missing,Missing,"While holidaying in the French Alps, a Swedish family deals with acts of cowardliness as an avalanche breaks out."
15038,Schwere Jungs,2007,Missing,Missing,insufficient sample,8.0,Missing,Missing,"In 1952, four passionate bobsledders - Gamser, Franzl, Gustl and Leusl Peter prepare for the Winter Olympics in Oslo. There, the veteran Bavarian Gamser wants to finally put his archrival Dorfler in his place and show him his class. While the two men constantly get into your hair, the women Rosi and Anna try to calm things down. In Oslo, there is finally a big showdown, which will take place not only on a bobsled."
15041,Die Perlmutterfarbe,2009,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing,"A story about friendship, lie and truth..."
15042,Sommer in Orange,2011,Missing,Missing,insufficient sample,4.0,Missing,Missing,A look at a Bavarian commune of the Indian Bhagwan cult.
15044,Brother's War,2009,insufficient sample,3.0,Missing,Missing,Missing,Missing,"The story is set in the latter days of World War 2, against the backdrop of fierce combat on the eastern front. Brother's War is based on real events."
15045,CBGB,2013,insufficient sample,8.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other",CBGB looks at New York's dynamic punk rock scene through the lens of the ground-breaking Lower East Side club started by eccentric Hilly Kristal (Alan Rickman) in 1973 which launched thousands of bands.
15047,The Homesman,2014,0.21052631578947367,19.0,0.42105263157894735,19.0,1,"There are two or more women in this movie, but they don't talk to each other","When three women living on the edge of the American frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded Mary Bee Cuddy. Transporting the women by covered wagon to Iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, George Briggs, to join her. The unlikely pair and the three women head east, where a waiting minister and his wife have offered to take the women in. But the group first must traverse the harsh Nebraska Territories marked by stark beauty, psychological peril and constant threat."
15049,Cesar Chavez,2014,insufficient sample,2.0,0.34782608695652173,23.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"A biography of the civil-rights activist and labor organizer Cesar Chavez.  Chronicling the birth of a modern American labour movement, Cesar Chavez tells the story of the famed civil rights leader and labour organiser torn between his duties as a husband and father and his commitment to securing a living wage for farm workers. Passionate but soft-spoken, Chavez embraced non-violence as he battled greed and prejudice in his struggle to bring dignity to working people."
15050,Trailer Park Boys: Don't Legalize It,2014,insufficient sample,3.0,insufficient sample,6.0,Missing,Missing,"Trailer Park Boys: Don't Legalize It is the third film in the Trailer Park Boys franchise, and a sequel to Trailer Park Boys: Countdown to Liquor Day (2009). In the film, Ricky (Robb Wells), Julian (John Paul Tremblay) and Bubbles (Mike Smith) attempt a series of get-rich-quick schemes after being released from prison, but are again pursued by former Sunnyvale Trailer Park supervisor Jim Lahey (John Dunsworth)."
15053,The November Man,2014,insufficient sample,9.0,Missing,Missing,Missing,Missing,An ex- CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.
15055,White Bird in a Blizzard,2014,insufficient sample,3.0,0.5833333333333334,12.0,Missing,Missing,"Kat Connors is 17 years old when her perfect homemaker mother, Eve, disappears. Having lived for so long in an emotionally repressed household, she barely registers her mother's absence and certainly doesn't blame her doormat of a father, Brock, for the loss. But as time passes, Kat begins to come to grips with how deeply Eve's disappearance has affected her. Returning home on a break from college, she finds herself confronted with the truth about her mother's departure, and her own denial about the events surrounding it..."
15057,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,insufficient sample,4.0,Missing,Missing,Missing,Missing,"Menahem Golan and Yoram Globus were two movie-obsessed cousins from Israel who became Hollywood’s ultimate gate-crashers. Following their own skewed version of the Great American Dream, they bought an already low-rent brand – Cannon Films – and ratcheted up its production to become so synonymous with schlock that the very sight of its iconic logo made audiences boo throughout the 1980s. And yet who could have foreseen how close they came to nearly taking over Hollywood and the UK film industry?"
15058,The Occupants,2014,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing,"A supernatural thriller directed by Todd Alcott who co-wrote the script with Holly Golden, and features Michael Rady and Toby Huss. Golden produced the film along with Ilan Arboleda. The film revolves around Lucy, who has a new husband, a new home and a new baby, but old ghosts won't let her be. She has dedicated her life to helping families break the cycle of abuse, so when she and her husband, Wade, see the echoes of a violent family tragedy in their home, Lucy tries to help the tortured souls break free of their torment and move on. She finds, however, that these ghosts don't want her help -- they want to lead Lucy and her family to their doom."
15059,Not Cool,2014,insufficient sample,4.0,insufficient sample,2.0,Missing,Missing,"Former prom king and college freshman Scott returns home for Thanksgiving break and gets dumped by his long-term girlfriend. With his world turned upside down, Scott strikes an unlikely friendship with former classmate Tori, an ugly duckling who blossomed in her first semester of college, and they embark on an outrageous adventure through their hometown. But when Scott and Tori start falling in love, they realize that a few months away may have changed them more than they realized."
15060,Who Am I - Kein System ist sicher,2014,Missing,Missing,insufficient sample,10.0,Missing,Missing,"Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage."
15061,Wer,2013,insufficient sample,3.0,Missing,Missing,Missing,Missing,"A defense attorney begins to suspect that her client, who is charged with the murders of a vacationing family, might be more than meets the eye."
15062,Gang Tapes,2001,Missing,Missing,insufficient sample,1.0,Missing,Missing,"When a brutal carjacking yields a videocamera, a teenage boy decides to document his life and the lives of his fellow gangbangers."
