title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Toy Story,1995,Missing,Missing,0.25,12.0,1,"There are two or more women in this movie, but they don't talk to each other"
Jumanji,1995,0.0,14.0,0.4,15.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Grumpier Old Men,1995,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing
Waiting to Exhale,1995,insufficient sample,4.0,Missing,Missing,Missing,Missing
Father of the Bride Part II,1995,insufficient sample,7.0,0.45454545454545453,11.0,Missing,Missing
Heat,1995,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Sabrina,1995,0.3548387096774194,31.0,0.5869565217391305,46.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Tom and Huck,1995,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing
Sudden Death,1995,insufficient sample,8.0,insufficient sample,6.0,Missing,Missing
GoldenEye,1995,0.21739130434782608,23.0,0.3684210526315789,19.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The American President,1995,insufficient sample,6.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Dracula: Dead and Loving It,1995,Missing,Missing,0.36363636363636365,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Balto,1995,insufficient sample,6.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Nixon,1995,insufficient sample,8.0,Missing,Missing,Missing,Missing
Cutthroat Island,1995,0.14285714285714285,14.0,Missing,Missing,Missing,Missing
Casino,1995,insufficient sample,10.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Sense and Sensibility,1995,insufficient sample,7.0,0.4375,16.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Four Rooms,1995,Missing,Missing,0.6363636363636364,22.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Ace Ventura: When Nature Calls,1995,insufficient sample,9.0,Missing,Missing,0,Fewer than two women in this movie
Money Train,1995,0.21739130434782608,23.0,0.14285714285714285,14.0,Missing,Missing
Get Shorty,1995,0.26666666666666666,15.0,Missing,Missing,Missing,Missing
Copycat,1995,0.17647058823529413,17.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Assassins,1995,0.3142857142857143,35.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Powder,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
Leaving Las Vegas,1995,Missing,Missing,0.5,14.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Othello,1995,insufficient sample,3.0,insufficient sample,8.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Now and Then,1995,insufficient sample,7.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Persuasion,1995,insufficient sample,7.0,0.4444444444444444,18.0,3,There are two or more women in this movie and they talk to each other about something other than a man
La CitÃ© des Enfants Perdus,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
æ‘‡å•Šæ‘‡ï¼Œæ‘‡åˆ°å¤–å©†æ¡¥,1995,insufficient sample,1.0,Missing,Missing,Missing,Missing
Dangerous Minds,1995,0.4666666666666667,15.0,insufficient sample,9.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Twelve Monkeys,1995,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
"Guillaumet, les ailes du courage",1996,insufficient sample,9.0,insufficient sample,5.0,Missing,Missing
Babe,1995,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Carrington,1995,insufficient sample,9.0,0.36363636363636365,11.0,Missing,Missing
Dead Man Walking,1995,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Across the Sea of Time,1995,insufficient sample,5.0,insufficient sample,1.0,Missing,Missing
It Takes Two,1995,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Clueless,1995,insufficient sample,7.0,0.5,12.0,3,There are two or more women in this movie and they talk to each other about something other than a man
"Cry, the Beloved Country",1995,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing
Richard III,1995,insufficient sample,4.0,0.17647058823529413,17.0,Missing,Missing
Dead Presidents,1995,insufficient sample,9.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Restoration,1995,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing
Mortal Kombat,1995,insufficient sample,8.0,insufficient sample,7.0,1,"There are two or more women in this movie, but they don't talk to each other"
To Die For,1995,0.5454545454545454,11.0,0.4166666666666667,12.0,Missing,Missing
How To Make An American Quilt,1995,0.625,16.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Se7en,1995,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Pocahontas,1995,Missing,Missing,0.21428571428571427,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
When Night Is Falling,1995,insufficient sample,5.0,insufficient sample,3.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Usual Suspects,1995,0.25925925925925924,27.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Guardian Angel,1994,Missing,Missing,Missing,Missing,Missing,Missing
Mighty Aphrodite,1995,0.2962962962962963,27.0,Missing,Missing,Missing,Missing
Lamerica,1994,insufficient sample,3.0,Missing,Missing,Missing,Missing
The Big Green,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
Georgia,1995,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
Kids of the Round Table,1997,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing
Home for the Holidays,1995,0.5454545454545454,11.0,insufficient sample,10.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Il postino,1994,insufficient sample,6.0,insufficient sample,5.0,Missing,Missing
Le confessionnal,1995,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing
The Indian in the Cupboard,1995,insufficient sample,7.0,insufficient sample,9.0,Missing,Missing
Eye for an Eye,1996,0.3888888888888889,18.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Mr. Holland's Opus,1995,Missing,Missing,0.4666666666666667,15.0,Missing,Missing
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0.0,11.0,Missing,Missing,Missing,Missing
Two If by Sea,1996,insufficient sample,3.0,Missing,Missing,Missing,Missing
Bio-Dome,1996,insufficient sample,7.0,0.5,12.0,Missing,Missing
Lawnmower Man 2: Beyond Cyberspace,1996,insufficient sample,8.0,Missing,Missing,Missing,Missing
Two Bits,1995,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
